content_id,client_id,baseline_score,baseline_action,baseline_reason_code,avg_position,days_since_last_update,ctr,word_count,impressions_90d
content_5fae218025f1,client_8527a891e2,75,prune,LOW_IMPRESSIONS_OLD_PAGE,15.3,104,0.0,3180.0,7
content_4620f191e3a3,client_6208ef0f77,75,refresh,STRIKING_STALE_CONTENT,16.8,104,0.53,5924.0,1891
content_7a589c0a5dd9,client_19581e27de,75,rewrite metadata,LOW_CTR_ON_PAGE_1,8.9,104,0.05,,5609
content_202cbad0f6fe,client_19581e27de,75,rewrite metadata,LOW_CTR_ON_PAGE_1,5.0,104,0.13,,10411
content_31b21583c35a,client_19581e27de,75,rewrite metadata,LOW_CTR_ON_PAGE_1,7.6,104,0.04,,7011
content_a219938761d0,client_19581e27de,75,rewrite metadata,LOW_CTR_ON_PAGE_1,3.6,104,0.38,,12685
content_65629be9dbb5,client_6208ef0f77,75,rewrite metadata,LOW_CTR_ON_PAGE_1,7.0,104,0.0,5865.0,1230
content_033581b09704,client_4e07408562,75,rewrite metadata,LOW_CTR_ON_PAGE_1,4.4,104,0.07,,41650
content_180c8ec7003d,client_8527a891e2,75,rewrite metadata,LOW_CTR_ON_PAGE_1,8.7,104,0.14,3485.0,4406
content_c353ed2bcd24,client_19581e27de,75,rewrite metadata,LOW_CTR_ON_PAGE_1,7.7,104,0.0,,1139
content_b57ac603d160,client_19581e27de,75,rewrite metadata,LOW_CTR_ON_PAGE_1,9.3,104,0.54,,2959
content_73308a0ed7e3,client_19581e27de,75,expand,STRIKING_THIN_CONTENT,14.1,104,0.0,,451
content_d10f9ce1e0cd,client_4e07408562,75,refresh,STRIKING_STALE_CONTENT,16.1,104,0.6,1914.0,166
content_62c3c0d4ec61,client_6208ef0f77,75,refresh,STRIKING_STALE_CONTENT,10.8,104,0.34,7639.0,2669
content_93f8f0b760af,client_19581e27de,75,expand,STRIKING_THIN_CONTENT,14.2,104,0.0,,1124
content_1f68c4fe4940,client_6208ef0f77,75,refresh,STRIKING_STALE_CONTENT,18.6,104,0.59,6416.0,6140
content_2b4d3c36b724,client_3fdba35f04,75,refresh,STRIKING_STALE_CONTENT,11.3,104,0.0,1484.0,360
content_b647cf61ca0e,client_19581e27de,75,rewrite metadata,LOW_CTR_ON_PAGE_1,5.9,104,0.23,,2172
content_b2df860b928d,client_8527a891e2,75,rewrite metadata,LOW_CTR_ON_PAGE_1,7.8,104,0.0,3898.0,25
content_d7a68d879120,client_4ec9599fc2,75,expand,STRIKING_THIN_CONTENT,11.1,104,0.63,,480
content_16a2d52cd13b,client_624b60c58c,75,rewrite metadata,LOW_CTR_ON_PAGE_1,8.7,104,0.16,5695.0,614
